Comments,Ti,Zr,Lu,Hf,Hg,Pb,Th,U
JER_zrf_12259,426,67100000,238000,7710000,55,58589.5,123300,290990
JER_zrf_12277,215,67100000,71500,8130000,70,50414.2,61200,303190
JER_zrf_12282,730,69000000,230000,8130000,100,162196.4,298000,774610
JER_zrf_12308,580,67200000,215200,9250000,76,113344.8,154400,687970
JER_zrf_12359,356,65300000,106800,7280000,55,48177.2,75000,276890
JER_zrf_12459,480,65100000,211000,8980000,79,64038,137000,389800
JER_zrf_12483,362,65800000,96200,7290000,63,63526.9,78400,287000
JER_zrf_12486,620,65200000,19600,6770000,50,191668.5,261000,1178350
JER_zrf_12516,252,67300000,223600,9300000,89,322222.9,433000,1552990
JER_zrf_12542,880,43500000,87500,5510000,118,40793,73000,243740
JER_zrf_12573,520,60100000,160200,7350000,79,100014.3,380000,483580
JER_zrf_12585,430,60800000,133600,8470000,75,193202,219000,1178460
JER_zrf_12599,870,67300000,221000,8110000,96,174316.9,684000,933650
JER_zrf_12602,600,53600000,173000,6930000,122,117821,46600,566970
JER_zrf_12628,1040,71200000,280000,8390000,110,412221.5,397000,1933280
JER_zrf_12647,361,66200000,80700,7400000,94,46277.3,66000,288070
JER_zrf_12652,850,53000000,110100,6800000,145,116481,145000,536920
JER_zrf_12685,380,44300000,131000,5920000,80,229499,540000,1198500
JER_zrf_12740,2850,57000000,43900,5440000,83,19957,23900,130074
JER_zrf_12767,780,68900000,241000,13320000,72,531185.2,207000,5808600
JER_zrf_12785,50000,56900000,49900,5870000,32,22319,20100,100190
JER_zrf_12793,400,66300000,278000,10290000,130,452658,572000,2819500
JER_zrf_12824,690,63200000,65700,7650000,77,12680.3,12140,75319
JER_zrf_12825,570,65700000,82600,8560000,102,6961,98100,231730
JER_zrf_12850,374,70400000,109100,8730000,83,71425.1,61800,371780
JER_zrf_12864,250,70200000,182400,9090000,35,231163,329000,1247920
JER_zrf_12902,429,75500000,145500,10270000,109,287060,307000,1806550
JER_zrf_12915,600,66600000,454000,13300000,109,533475,260000,7077900
JER_zrf_12920,329,63700000,99970,7020000,57,59015.5,207700,310684
JER_zrf_12954,509,66100000,157000,11220000,70,577080.6,259000,4591100
JER_zrf_12968,560,39400000,103000,4750000,94,91046.5,127000,442080
JER_zrf_13049,575,65800000,96700,6760000,67,26577.1,94500,164899
JER_zrf_13060,465,67600000,231900,9450000,77,42722,294900,259489
JER_zrf_13148,287,68300000,215000,7010000,77,83430.3,966000,540800
JER_zrf_13171,540,75700000,320000,12210000,71,421812.1,271000,2475790
JER_zrf_13196,670,63400000,242000,7200000,69,146905,229000,677860
JER_zrf_13219,498,67400000,131900,8680000,71,38843.3,118600,240705
JER_zrf_13264,328,67800000,246500,9460000,77,103701.3,324000,643730
JER_zrf_13272,1850,67800000,325000,7120000,111,186358.2,336000,865190
JER_zrf_13376,443,68000000,29700,6550000,87,24642.6,36500,155355
JER_zrf_13384,620,66600000,158300,8170000,83,207101.5,113700,1038230
JER_zrf_13385,370,62800000,95000,8420000,76,109233.2,146000,543870
JER_zrf_13467,290,65400000,96800,7480000,84,80127,99300,358038
JER_zrf_12392,520,61700000,373000,10340000,77,365701,153300,2139470
JER_zrf_13383,580,63900000,242000,9360000,78,393962,105200,2961430
MAR_zrf_146,200,67300000,49900,7360000,102,16516.2,143700,347520
MAR_zrf_176,138,67700000,222000,7740000,87,5439.8,199300,199001
MAR_zrf_230,720,67000000,160000,6770000,91,3106.3,119000,108345
MAR_zrf_323,230,70400000,304000,5990000,113,4204.9,228000,149070
MAR_zrf_498,660,57600000,169900,5670000,132,4841,292000,160398
MAR_zrf_555,1020000,43300000,112300,4210000,38,2652,64400,90193
MAR_zrf_653,200,69700000,224000,9240000,76,7821.7,270000,281050
MAR_zrf_779,600,86200000,377000,9160000,75,5308,290600,209500
MAR_zrf_780,214,71900000,370000,8180000,73,16783.8,672000,633540
MAR_zrf_829,196,73600000,561000,7190000,102,14037.8,657000,498620
MAR_zrf_97,311,67800000,213000,6180000,78,2893.7,61000,98978
PAL_zrf_3048,61,68400000,352000,10880000,61,49333.2,560000,1923200
PAL_zrf_3096,1120,59200000,58000,7210000,95,8392,8400,64646
PAL_zrf_3270,177,69400000,84700,7900000,98,51912,126000,353560
PAL_zrf_3383,338,67100000,147000,7280000,67,1628.9,36080,56703
PAL_zrf_3401,520,69800000,76600,8480000,56,2214.4,39200,78487
PAL_zrf_3738,680,61900000,58600,6930000,81,1682.5,30300,50550
PAL_zrf_3800,340,70900000,101800,10150000,81,9134,107400,348400
PAL_zrf_3864,920,67400000,80100,7390000,103,2639,49000,77560
PAL_zrf_3904,298,69200000,72800,8560000,85,53563.5,85200,348640
