Comment,Mn,Zr,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Pb,Th,U,P,La,Ce,Pr,Nd,Sr,Y,Lu
BADvf_29,938,1.49,259.3,20.83,196.8,23.37,133.6,23.85,63,7.81,45.4,29.31,17.09,7.32,69400,1391,3305,382,1584,374.6,656,5.97
BADvf_30,1070,0.91,128.1,12.7,108.8,12.46,67.9,13.35,38.56,4.93,31.9,32.62,19.51,10.62,67000,1064,2033,200.6,814,194.4,406.8,5.26
BADvf_31,1308,4900,283.5,16.35,231,28.22,159.3,28.68,75.2,9.02,52.2,16.74,19.3,22.2,68600,1194,2893,352.2,1564,139.8,833,7.7
BADvf_32,838,0.41,98.7,10.55,95.2,11.18,67.2,13.51,37.1,4.83,30.1,28.29,11.35,7.72,64800,254,744,103.1,485,163.7,397,5.1
BADvf_33,1785,1.97,850,64,718,96.4,560,102.8,257.2,32.05,178.3,63.1,95.7,16.32,69700,2432,6653,904,4028,298.3,2799,22.67
BADvf_34,1734,0.9,574,35.9,504,67,401,76,207,26.3,162,20.35,25.4,5.13,72100,1478,4110,567,2580,137.8,2290,21.2
BADvf_35,1778,2.89,390,32.1,333,41.5,244,47.4,125,16.1,93.5,54.4,43.4,9.06,66200,2180,4330,505,2130,157.5,1294,12.94
BADvf_36,943,4.75,421,34.5,420,64.5,402,73.3,184.5,23.26,135.6,17.15,10.93,3.68,76700,763,2336,332,1625,144.9,2249,18.07
BADvf_37,849,800,273,23.39,323,50.7,338,70.6,200,26.3,160,15.39,13.5,6.36,66100,356,1116,170.1,926,225.2,2040,22.4
BADvf_38,717,0.68,246,21.2,300,46.2,302,61.6,183,23.7,145.6,7.121,11.7,4.45,76100,314,1016,160,848,248.3,1860,20.6
BADvf_39,779,1.07,437,29.27,365,50.1,307,60.1,169.8,22.65,130.5,15.75,76.9,57.1,56400,1602,4202,516,2165,317.6,1812,16.59
