Comments,Al,Sr,Fe,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,W,Pb,Th,U
COR_tif_1132,9990,11.01,5070,335,88.9,1071,0.529,4.11,1.3,12,10.7,1.02,20.6,5.43,51.3,12.82,45.1,8.34,59.8,7.66,10.96,0.91,2.231,0.0965,0.1822
COR_tif_1270,8490,45.1,2620,2920,177,729,160.2,925,200.1,1354,505,129.2,512,81.8,531,111.1,311,42,267,31,15.69,15.1,8.541,0.557,18.66
COR_tif_1381,5911,33.81,4592,3121,88.4,1027,79.7,507,130.6,978,449,125.6,520,87.2,575,113.5,321.6,46,286.5,36.81,7.36,78.6,4.761,1.296,5.08
COR_tif_1607,9640,42.5,1406,1071,251,281,261,744,107.2,553,155.6,58.7,156.6,24.7,176,37.3,117.5,18.2,124,17.4,17.12,11.26,4.586,4.81,9.84
COR_tif_1899,7170,13.44,6300,8740,322,991,357,2044,441,2980,1242,105,1375,246.1,1694,314,915,135.8,801,85.5,49.6,1.13,12.231,134.9,80.2
COR_tif_2514,7160,50.5,4770,3450,159.9,488,100.5,878,220,1527,573,107.2,584,97.6,652,128.9,380,53.8,344,43.9,11.5,1.09,4.103,0.967,6.09
COR_tif_2766,18320,26.02,10100,3390,172.7,1476,155.2,1342,337,2191,710,94.4,632,93.1,597,116.4,335,49.5,324,40.7,14.31,2.66,7.616,9.76,31.7
COR_tif_2845,5170,28.75,4030,1633,312,454,1302,4000,508,2053,378,244.1,291,43.8,276.7,55.3,165.5,25.17,169.4,22.9,14.74,10.2,11.58,23.79,69.1
COR_tif_2901,5940,11.47,2525,5.87,14.74,77.8,0.134,0.1,0.036,0.057,0.008,0.045,0.159,0.052,0.61,0.166,1.02,0.149,1.49,0.225,0.841,33.5,3.64,0.0027,0.0368
COR_tif_1284,11400,97.6,6900,604,51.9,278,50.8,248,60.4,400,152.7,53.1,148.9,22.2,136.8,23,61.1,7.89,50.2,5.84,4.04,308,15.69,0.594,2.028
COR_tif_1301,15400,35.8,22000,855,311,1130,670,2310,310,1330,280,62.6,202,29.7,180,34,96.4,14.1,93.2,12.7,21.65,920,154.1,718,345
COR_tif_1394,6220,26.19,2150,955,140,287,33.5,257,61.4,380,135.3,51.8,139.9,23.9,165.6,33.5,97.9,14.92,101.5,13.29,6.86,47.7,10.56,1.59,28.3
COR_tif_1422,7080,28.57,2380,120.5,28.5,41.6,16.16,64.4,11.52,66.6,21.4,13.47,22.7,3.54,24.4,4.68,13.22,1.86,11.18,1.65,2.61,14.5,2.909,0.105,0.173
COR_tif_1591,17000,114,2880,419,92.5,177,31,111,18.9,118,47.8,17.3,58.1,10.7,74.2,15.3,46.7,6.65,46.3,7.1,6.84,3.3,4.68,2.08,3.58
COR_tif_1777,7610,19.95,5160,2483,480,278.7,116.7,730,169.4,1102,401,88,424,69.9,462,91.3,264.7,37.7,243,31.9,32.3,6.1,3.991,0.897,5.57
COR_tif_1801,7730,30.2,3560,87.3,842,206.1,9.31,28.6,4.35,23.6,7.3,4.45,10.09,1.79,14.9,3.24,12.16,1.85,13.8,1.76,23.7,5.8,2.92,0.777,1.01
COR_tivf_2055,27900,233,13000,493.8,127.5,242.2,84,324,48.9,246.8,74.9,36.6,87.5,14.92,98.9,19.95,58.5,8.05,48.7,6.58,7.01,55.4,31.8,11.87,7.36
COR_tivf_3548,163700,42.51,60800,709,879,87.6,607,2101,307.6,1369,292,62.5,200.3,25.8,149.4,27.74,73.2,9.37,64.6,8.22,32.5,740,8.47,59.8,11.8
COR_tivf_2456,21100,54.76,19700,2920,179.8,1097,93.7,531,124.2,868,424,125.2,494,83.7,555,108.8,294,41.3,258,32.6,15.53,39.3,18.65,35.3,270
COR_tivf_2463,6300,41.16,4620,280,102.2,320,3.32,20.5,5.92,41.3,28.3,11.61,44,8.5,56.7,11.21,31.7,4.18,26.2,3.61,8.96,19.9,11.68,0.129,9.34
COR_tivf_2508,21470,54.9,41100,454,138.6,274,209.9,659,90.9,420,109.4,32.6,103,15.15,93.2,18,51.2,7.25,43,6.12,8.33,51,15.91,21.55,7.17
COR_tivf_2602,9010,55.29,8060,1257,161.6,471.3,7.75,98.6,41.11,372,169.3,20,199.9,33.8,224,47.4,138,21.25,136.5,19.59,11.6,51.1,5.72,1.03,1.216
COR_tivf_2631,23400,46.7,4030,355,2090,1341,12.2,49.5,13.64,121,72.9,18.5,82.8,12.51,74.6,12.92,31.6,3.85,19.6,2.13,131.3,70.8,22.115,8.35,618
COR_tivf_2516,3630000,2250,7000000,374,1000,8,153,820,132,910,320,83,287,34.8,135,14.1,27,1.6,3.7,0.21,85,4200,108,2.89,1.26
COR_tivf_2642,6890,84,1577,1840,488,623,700,2182,339,1780,468,93.4,430,61.1,391,75.1,194.2,24.8,143.1,16.51,37.2,12.6,22.34,169,90.3
COR_tivf_2670,30000,94,45000,480,138,252,32.5,233,60.2,430,168,47.7,173,21.8,103.6,18,47.4,5.45,27.7,3.63,7.81,73,20.45,0.099,1.25
COR_tivf_2903,5540,16.3,2677,500,74.6,66.3,55.9,240.6,37.7,175.5,47.9,28.3,57.5,10,75.7,17.3,53.6,9.35,68.2,11.2,3.96,63.1,4.512,1.982,4.28
COR_tivf_2709,1200000,9900,760000,258,577,72,76,205,33.3,163,37,14.6,46.1,7.4,50.3,9.4,32.7,3.08,31.3,4.4,18.6,384,834,12.6,18.4
COR_tivf_2718,1700000,10200,1540000,13900,668,66.6,269000,476000,52000,191000,26700,4050,13800,1210,4780,590,1100,110,640,73,27.9,4990,1069,69000,4910
COR_tivf_3076,46300,127.4,514000,3420,177,2140,90.4,160.1,14.3,62.7,54.5,27.2,174,59.3,546,138.5,436,67.1,457,52.6,16.2,320,70.7,54.1,339
