ACA,AGI,BAD,BUR,COR,DON,FRI,FUN,GAT,GUC,JER,MAR,PAL,PRO,RAN,SEV,TAP
,,,,,,,,,,1271.0,,,,,,
,,,,,,,,,,1273.2,,,,,,
,,,,,,,,,,1281.9,,,,,,
,,,,,,,,,,1290.8,,,,,,
,,,,,,,,,,1291.0,,,,,,
,,,,,,,,,,1293.2,,,,,,
,,,,,,,,,,1293.9,,,,,,
,,,,,,,,,,1295.1,,,,,,
,,,,,,,,,,1299.5,,,,,,
,,,,,,,,,,1309.8,,,,,,
,,,,,,,,,,1311.6,,,,,,
,,,,,,,,,,1316.6,,,,,,
,,,,,,,,,,1318.2,,,,,,
,,,,,,,,,,1323.6,,,,,,
,,,,,,,,,,1336.3,,,,,,
,,,,,,,,,,1343.9,,,,,,
,,,,,,,,,,1347.6,,,,,,
,,,,,,,,,,1375.0,,,,,,
,,,,,,,,,,1430.5,,,,,,
,,,,,,,,,,1682.3,,,,,,
,,,,,,,,,,1726.8,,,,,,
